Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
"HUNAN CONSTRUCTION GROUP CO., LTD.(湖南建设集团有限公司) *301","LAST KNOWN ADDRESS:23 CHENGNANZHONG ROAD, RONGAN BUILDING 5TH FLOOR, CHANGSHA, HUNAN",China,2016-01-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MINIMIX AGENCIES (MINIMIX)*325,"RIVERSIDE CLOSE, OPPOSITE OFFICE PARK, WESTLAND CITY, NAIROBI",Kenya,2016-06-17,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
BMR CONSULTORIA Y CONSTRUCCIÓN S.A.C.*306,"CALLE BILBAO MZ. U LOTE 19, A.H., VILLA ESPANA, CHIMBOTE, ANCASH",Peru,2016-02-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSORCIO ROPRUCSA*307,"JR. CONDESUYO 549,A 3ER PISO, CERCADO DE LIMA",Peru,2016-02-05,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"SOFTWARE DEVELOPMENT & IT SOLUTION JOINT STOCK COMPANY (CADPRO., JSC.)*468","NO. 11, CHAU LONG STREET, TRUC BACH WARD, BA DINH DISTRICT, HANOI",Viet Nam,2019-02-25,2028-11-24,"Jan. 2011 Proc. Guidelines, Para. 1.16(a)(ii), (iii), and (v)(bb)"
ASTRA BIOPHARMACEUTICALS LIMITED*343,"43/2, RING ROAD, SHYAMOLI, DHAKA-1207",Bangladesh,2016-09-13,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
SHAILUNG CONSTRUCTION CO. PVT. LTD.*405,"P.O. BOX 19679, SUNAKOTHI-8, DHOLAHITY, LALITPUR",Nepal,2017-12-18,2999-12-31,"Para. 1.16(a)(i), Jan. 2011 Procurement Guidelines"
PSL ENGINEERING PRIVATE LIMITED*320,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II, NEW DELHI-110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
AIRSERCO PRIVATE LIMITED*320,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II, NEW DELHI- 110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
PSL ENGINEERING PVT. LTD.*320,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III, NEW DELHI-110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
FEDDERS ELECTRIC & ENGINEERING LTD.*320,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II, NEW DELHI- 110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
LLOYD ELECTRICAL & ENGINEERING LIMITED*320,"A-146 (B&C), RIICO INDUSTRIAL AREA, BHIWADI, DISTT. ALWAR, RAJASTHAN, PIN-301 019",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
REGAL INFORMATION TECHNOLOGY PRIVATE LIMITED*320,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III,, NEW DELHI -110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
LLOYD INFOTECH (INDIA) PRIVATE LIMITED*320,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III,, NEW DELHI -110020",India,2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
"THANG LOI GROUP CO., LTD.*319","ĐƯỜNG 57A, THỊ TRẤN LÂM, HUYỆN Ý YÊN, NAM ĐỊNH",Viet Nam,2016-04-05,2999-12-31,"2010 Procurement Guidelines, 1.14(a)(ii)"
DESARROLLO CON INGENIERÍA CONTRATISTAS GENERALES S.A. (DISA-CGSA)*308,"CALLE SAN MARCOS NO. 508, URB. SAN ANTONIO, HUANCAYO, JUNÍN",Peru,2016-02-09,2999-12-31,"Procurement Guidelines,1.16(a)(ii); Procurement Guidelines,1.14(a)(ii)"
"JIANGXI HENGJIAN ROAD AND BRIDGE ENGINEERING CO., LTD.(江西恒剑路桥工程有限公司) *334","MIAOPU, YINCHENG COUNTY, DEXING CITY, SHANGRAO, JIANGXI PROVINCE, ZIP CODE: 334200",China,2016-08-05,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
OREGON PACIFIC INTERNATIONAL CO. LTD.*341,"SMALL INDUSTRIES CENTRE 102, MA’UFANGA, NUKU’ALOFA",Tonga,2016-08-23,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
TIGER IT BANGLADESH LTD.*475,"HOUSE 21, ROAD 28, BLOCK-K, BANANI MODEL TOWN, DHAKA, 1213",Bangladesh,2019-04-24,2028-10-23,"May 2010 Procurement Guidelines, Paras. 1.14(a)(i), (iii), and (v)(bb)"
JUYDAM-TAMIRCHI LLC*444,"DASHNAYA 8, FERGANA REGION, FERGANA CITY",Uzbekistan,2018-06-13,2999-12-31,"Jan. 2011 Procurement Guidelines, Paras. 1.16(a)(ii) & 1.16(a)(iii)"
ESKE S.A.C.342,"JIRON VICTOR MANTILLA NO. 237, 245 SURQUILLO, LIMA 34",Peru,2016-08-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSORCIO OCONGATE*323,"C/O ROPRUCSA CONTRATISTAS GENERALES S.A. (ROPRUCSA S.A.), AV. NARANJAL NO. 543, URBANIZACION NARANJAL, DISTRITO DE LOS OLIVOS 39, LIMA",Peru,2016-05-24,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
J&R CONTRATISTAS GENERALES S.R.L. (J&R S.R.L.)*312,"AVENIDA NICOLÁS DE PIÉROLA 611-OF. 64, DISTRITO DE CERCADO DE LIMA, LIMA",Peru,2016-03-22,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. NGO DUNG TOAN*333,"DIRECTOR, AN HOA LIMITED COMPANY, 231 TRUÒNG CHINH, HAI BÀ TRUNG, PHÛ LÝ, HÀ NAM",Viet Nam,2016-07-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
GEORGE C. BENSON,"16520 SOUTH TAMIAMI TRAIL, SUITE 18, FORT MYERS, FL, 33908",United States,2016-11-14,2027-09-19,Cross-Debarment: IDB
REGIONAL COMMUNICATIONS LIMITED,"NOBLE HOUSE, 6 BRAZIL STREET, WEST INDIES, CASTRIES",St. Lucia,2016-11-14,2027-09-19,Cross-Debarment: IDB
CELLUCIAN LIMITED,"NOBLE HOUSE, 6 BRAZIL STREET, WEST INDIES, CASTRIES",St. Lucia,2016-11-14,2027-09-19,Cross-Debarment: IDB
MR. IYKE AMBROSE*356,"10 OBANLE ARO AVENUE, OFF COKER ROAD, ILUPEJU, LAGOS",Nigeria,2017-01-24,2999-12-31,"Consultant Guidelines, 1.22(a)(i)"
